TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,STATUS,DEFERRABLE,DEFERRED,COLUMN_NAME,R_CONSTRAINT_NAME
AUDIT_LOG,SYS_C00189764965,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,AUDIT_ID,
AUDIT_LOG,SYS_C00189764966,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,USER_ID,
AUDIT_LOG,AUDIT_LOG_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,AUDIT_ID,
AUDIT_LOG,FK_AL_USER,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,USER_ID,USERS_PK
BEHAVIOR_FEATURES,SYS_C00189763588,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,BEHAVIOR_ID,
BEHAVIOR_FEATURES,SYS_C00189763589,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,
BEHAVIOR_FEATURES,BEHAVIOR_FEATURES_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,BEHAVIOR_ID,
BEHAVIOR_FEATURES,FK_BF_CUSTOMER,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,PK_CUSTOMERS
CUSTOMERS,PK_CUSTOMERS,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$I,SYS_C00191194640,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TOKEN_TEXT,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$I,SYS_C00191194641,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TOKEN_TYPE,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$I,SYS_C00191194642,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TOKEN_FIRST,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$I,SYS_C00191194643,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TOKEN_LAST,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$I,SYS_C00191194644,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TOKEN_COUNT,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$N,SYS_C00191194645,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,NLT_MARK,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$N,SYS_IOT_TOP_475835851,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,NLT_DOCID,
DR$EBA_DEMO_SEARCH_PRODUCTS_CTX$U,SYS_C00191194647,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,RID,
EBA_DEMO_CAL_MYSESSIONS,SYS_C00191194665,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TITLE,
EBA_DEMO_CAL_MYSESSIONS,SYS_C00191194666,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,SESSION_TYPE,
EBA_DEMO_CAL_MYSESSIONS,SYS_C00191194667,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,START_DATE,
EBA_DEMO_CAL_MYSESSIONS,SYS_C00191194668,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,END_DATE,
EBA_DEMO_CAL_MYSESSIONS,SYS_C00191194669,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,STATUS,
EBA_DEMO_CAL_MYSESSIONS,EBA_DEMO_CAL_MYEVENTS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ID,
EBA_DEMO_CAL_PROJECTS,SYS_C00191194653,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,PROJECT,
EBA_DEMO_CAL_PROJECTS,SYS_C00191194654,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TASK_NAME,
EBA_DEMO_CAL_PROJECTS,SYS_C00191194655,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,START_DATE,
EBA_DEMO_CAL_PROJECTS,SYS_C00191194656,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,END_DATE,
EBA_DEMO_CAL_PROJECTS,SYS_C00191194657,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,STATUS,
EBA_DEMO_CAL_PROJECTS,EBA_DEMO_CAL_PROJECTS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ID,
EBA_DEMO_CAL_SESSIONS,SYS_C00191194659,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,TITLE,
EBA_DEMO_CAL_SESSIONS,SYS_C00191194660,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,SESSION_TYPE,
EBA_DEMO_CAL_SESSIONS,SYS_C00191194661,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,START_DATE,
EBA_DEMO_CAL_SESSIONS,SYS_C00191194662,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,END_DATE,
EBA_DEMO_CAL_SESSIONS,SYS_C00191194663,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,STATUS,
EBA_DEMO_CAL_SESSIONS,EBA_DEMO_CAL_EVENTS_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ID,
EBA_DEMO_CARD_DEPT,SYS_C00191194673,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,DEPTNO,
EBA_DEMO_CARD_DEPT,EBA_DEMO_CARD_DEPT_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,DEPTNO,
EBA_DEMO_CARD_EMP,SYS_C00191194675,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMPNO,
EBA_DEMO_CARD_EMP,EBA_DEMO_CARD_EMP_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMPNO,
EBA_DEMO_CARD_EMP,EBA_DEMO_CARD_EMP_DEPT_FK,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,DEPTNO,EBA_DEMO_CARD_DEPT_PK
EBA_DEMO_CARD_EMP,EBA_DEMO_CARD_EMP_MGR_FK,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,MGR,EBA_DEMO_CARD_EMP_PK
EBA_DEMO_CARD_RANDOM_IMAGE,EBA_DEMO_CARD_RIMG_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ID,
EBA_DEMO_CARD_VEHICLE_SPEED,EBA_DEMO_CARD_VSPEED_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ID,
EBA_DEMO_CS_EMP,SYS_C00191194651,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMPNO,
EBA_DEMO_CS_EMP,EBA_DEMO_CS_EMP_PK,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMPNO,
EBA_DEMO_LOAD_DEPT,SYS_C00191194726,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,DEPTNO,
EBA_DEMO_LOAD_EMP,SYS_C00191194727,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMPNO,
EBA_DEMO_LOAD_EMP,SYS_C00191194728,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,EMPNO,
EBA_DEMO_LOAD_EMP,SYS_C00191194729,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,MGR,SYS_C00191194728
EBA_DEMO_LOAD_EMP,SYS_C00191194730,R,ENABLED,NOT DEFERRABLE,IMMEDIATE,DEPTNO,SYS_C00191194726
EBA_DEMO_LOAD_SALES,SYS_C00191194731,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,ID,
EBA_DEMO_LOAD_SALES,SYS_C00191194732,P,ENABLED,NOT DEFERRABLE,IMMEDIATE,ID,
EBA_DEMO_SEARCH_CUSTOMERS,SYS_C00191194606,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,CUSTOMER_ID,
EBA_DEMO_SEARCH_CUSTOMERS,SYS_C00191194607,C,ENABLED,NOT DEFERRABLE,IMMEDIATE,FULL_NAME,
